Category:
twin
Name,Lattice type,h,k,l
twin-001,cF,0,0,1
twin-011,cF,0,1,1
twin-111,cF,1,1,1
twin-012,cF,0,1,2
twin-112,cF,1,1,2
twin-122,cF,1,2,2
twin-013,cF,0,1,3
twin-113,cF,1,1,3
twin-023,cF,0,2,3
twin-123,cF,1,2,3
twin-223,cF,2,2,3
twin-133,cF,1,3,3
twin-233,cF,2,3,3
