Phases:
0,Not indexed,0
2,Iron,60696
1,Iron,310619
Map Size:
X,256
Y,192
Data:
K,Cluster Size,Phase,Euler1,Euler2,Euler3,Index Quality,Pattern Quality,IPF x-coordinate,IPF y-coordinate,Kernel Average Misorientation,GND Density,Channelling Fraction
twin-133,13,18,14.704039755269134,0.9672498586525125
twin-023,7,12,14.705369331099837,0.9672439682356364
twin-113,2,10,14.80716612641093,0.9667914318027873
twin-112,19,20,14.867643679645294,0.9665211343611939
twin-023,5,14,14.88014345794745,0.9664651337506718
twin-111,18,20,14.889657628250486,0.9664224782164532
twin-122,4,12,14.911723680434859,0.9663234453960663
twin-122,3,5,14.940237367528193,0.9661952632173987
twin-112,4,5,14.971570325867983,0.9660541311646913
twin-133,6,18,14.975320721701625,0.9660372190146318
twin-013,1,10,14.978182817778944,0.9660243098061156
twin-112,3,12,15.066234137475247,0.9656259851573532
twin-011,14,18,15.073115800268402,0.9655947579459112
twin-112,16,18,15.091821799984757,0.9655098045502337
twin-012,17,19,15.102294154416382,0.9654621993619705
nwor-02,4,9,15.113860629413306,0.9654095830404252
twin-113,6,8,15.14400350706627,0.9652722771182383
twin-223,2,4,15.172868738912497,0.9651405406734193
twin-012,3,17,15.186340755763759,0.9650789726305504
twin-013,12,19,15.196305906068076,0.9650333968784008
twin-111,13,16,15.232062637828298,0.9648696226857205
twin-012,7,18,15.272780672976843,0.964682666954009
twin-112,6,8,15.27554166591883,0.9646699722920469
twin-111,4,18,15.336963274127,0.9643869851069289
twin-112,4,19,15.348892215461014,0.9643318964768934
twin-023,2,4,15.398307390170437,0.9641032487698675
twin-023,14,20,15.415997475848693,0.9640212210972863
twin-233,7,19,15.46653046682582,0.9637863970342333
twin-233,13,19,15.473162434602525,0.9637555229848107
ksor-06,17,9,15.480663861463173,0.9637205857471893
nwor-03,5,9,15.481362534993755,0.9637173308955467
twin-223,13,19,15.521969368560566,0.963527913073198
twin-113,11,15,15.544403873773778,0.9634230557596846
twin-133,4,14,15.57092349044057,0.9632989144198141
ksor-11,4,9,15.581203970589058,0.963250734815233
twin-123,3,8,15.595271529767258,0.9631847567643455
twin-123,7,10,15.632155034051777,0.9630114943083488
twin-023,3,4,15.634457360570083,0.9630006657589796
twin-023,10,19,15.671871202264864,0.9628244790256024
twin-012,7,16,15.67364214037021,0.9628161292666717
twin-013,3,4,15.67836725249636,0.9627938464334171
twin-122,15,20,15.68236805269663,0.9627749742138909
twin-112,10,20,15.684834219931405,0.9627633386900534
twin-233,4,14,15.724519692503753,0.9625758549867824
ksor-03,3,9,15.762064772148866,0.9623980579017204
twin-023,4,14,15.801762420066545,0.9622096177246966
twin-123,6,11,15.817369815180546,0.9621354047072157
twin-013,5,15,15.821581091257713,0.962115367898071
nwor-01,17,9,15.830695516672225,0.9620719846216379
twin-122,1,4,15.86421721186198,0.961912217039258
twin-233,6,12,15.866642690731139,0.9619006442021278
twin-233,14,16,15.876529410036884,0.9618534532541503
twin-233,1,8,15.885173547845923,0.9618121698866797
twin-133,1,20,15.933544465909002,0.9615807521916122
twin-223,5,7,15.936337267108089,0.9615673698538325
twin-133,4,20,15.967865697476993,0.9614161357874369
twin-112,2,14,15.972607089065978,0.9613933673241442
twin-112,1,3,15.983133340443578,0.9613427960645826
twin-011,2,16,15.985123693786708,0.9613332301641371
twin-113,12,16,15.999522199094644,0.9612639944996477
twin-012,1,19,16.00925197479331,0.9612171741963336
twin-023,8,13,16.022295218197034,0.9611543657883184
twin-013,10,18,16.033894738942156,0.9610984676340208
twin-113,2,5,16.0378080759388,0.9610796003548674
twin-123,11,16,16.058029948285327,0.9609820336792207
twin-223,14,19,16.078110458613203,0.9608850305954753
twin-233,13,20,16.08295150297529,0.9608616272661139
twin-123,2,4,16.101081107754244,0.9607739213669035
twin-012,2,14,16.12870054999862,0.9606401214190283
twin-133,4,12,16.131135708406365,0.9606283138004292
twin-123,8,12,16.13540077460656,0.9606076291268772
ksor-03,5,9,16.140077072393524,0.9605849439491327
twin-223,2,10,16.145795349723564,0.9605571953305114
twin-013,1,19,16.151250841074624,0.9605307129937128
twin-023,8,14,16.174229520815242,0.9604190730773592
twin-223,1,2,16.181089852613574,0.9603857128069957
twin-111,6,13,16.208661608452847,0.9602514986181225
twin-123,10,18,16.220730164640756,0.9601926811568031
twin-223,14,16,16.223307905375275,0.960180112726899
twin-123,8,11,16.248977131815952,0.9600548498573624
twin-113,3,18,16.251910726606713,0.9600405219824955
twin-012,3,14,16.2587211583067,0.9600072496712073
twin-122,5,13,16.310610112393874,0.9597533012658244
twin-023,3,15,16.32676957984857,0.9596740548769329
twin-013,4,13,16.358702592106763,0.9595172302047348
twin-123,7,14,16.36996081177762,0.9594618694411734
twin-011,6,13,16.45424064600277,0.959046258305434
twin-013,4,8,16.456757187239564,0.9590338165159373
twin-223,1,4,16.475610163892846,0.9589405484807143
ksor-02,5,9,16.55093872750196,0.9585668525529387
twin-113,10,15,16.554409315487185,0.958549595451692
twin-013,17,19,16.571127600779278,0.9584664164171912
twin-112,6,7,16.583089544509424,0.9584068516823359
twin-012,8,12,16.591924455703708,0.9583628312465837
twin-113,7,17,16.59562328737817,0.9583443948451971
twin-122,16,20,16.6028194258041,0.9583085150764681
twin-112,2,4,16.661679048808285,0.9580144750085291
twin-123,5,14,16.677865093618674,0.9579334384921414
twin-001,2,3,16.695340831174136,0.9578458592141912
twin-122,4,20,16.703735941417353,0.9578037556163697
twin-122,18,20,16.71066236005339,0.9577690023963286
twin-233,1,4,16.714062606786165,0.9577519365780767
twin-113,6,13,16.756165557151952,0.9575403426698958
twin-112,1,14,16.759402739617265,0.9575240523768713
twin-223,1,20,16.777493271109826,0.9574329601351501
twin-123,7,19,16.777652279256237,0.9574321590495689
twin-233,6,19,16.781131529146688,0.9574146286871474
twin-111,12,20,16.801269065996866,0.9573130954221167
twin-123,1,3,16.83391140490302,0.9571482618671552
twin-013,4,6,16.83896120339135,0.9571227342223203
twin-013,8,20,16.954184532105835,0.9565382396123874
twin-123,4,8,16.987324728627286,0.9563694125558626
twin-012,4,11,16.995983528167816,0.9563252490621479
twin-223,1,7,17.004722940968655,0.9562806522600242
twin-223,4,15,17.024974199344676,0.9561772255560768
twin-233,12,20,17.036114885176282,0.956120277199894
twin-113,5,20,17.0651654781443,0.9559716079236367
twin-123,6,13,17.067486386016796,0.9559597198466707
twin-111,14,15,17.077345829249083,0.9559092006498848
twin-023,10,12,17.10424077346592,0.95577124865042
twin-133,2,19,17.10720026484653,0.9557560556950238
twin-023,6,8,17.130601711250357,0.9556358313599418
ksor-02,8,9,17.135472497832414,0.9556107877735944
twin-233,7,12,17.149362840296003,0.9555393314022715
twin-013,3,14,17.160416682339022,0.955482426768792
twin-133,1,6,17.164519309083687,0.9554612975994632
twin-123,1,8,17.171466569926043,0.9554255069482833
twin-112,2,19,17.20647773958587,0.9552449238908118
twin-111,2,18,17.222207859714526,0.9551636738470015
twin-012,6,18,17.22779343873684,0.9551348055992519
twin-123,12,15,17.233590231570467,0.9551048361251868
twin-133,7,10,17.234533882829066,0.955099956513914
twin-013,8,19,17.259153502056694,0.9549725571589311
twin-112,8,13,17.29722170455432,0.95477521820784
twin-122,4,14,17.303837921033683,0.9547408778956872
twin-013,5,16,17.332247458824515,0.9545932784764386
twin-112,10,14,17.335590552614814,0.9545758942728952
twin-023,8,10,17.33585434029531,0.9545745224294844
twin-122,8,17,17.349652361383406,0.9545027367973238
twin-012,5,15,17.408220918372468,0.954197411695092
twin-223,6,12,17.418681939016984,0.9541427721491145
twin-223,5,17,17.420141189791078,0.9541351477263191
twin-012,1,12,17.423472937525982,0.9541177373957239
twin-113,16,18,17.464411844833332,0.9539035443010535
twin-233,7,10,17.510823919164174,0.9536601264874403
twin-133,3,10,17.522211603949962,0.9536003057861204
twin-012,2,4,17.545736105319136,0.9534766098325611
twin-122,4,19,17.552528003504907,0.9534408669376935
twin-113,5,17,17.56603783045206,0.9533697305891582
twin-223,7,18,17.599898897846373,0.9531912013429289
twin-012,12,17,17.614471843204264,0.9531142644043136
twin-023,2,14,17.62459557770129,0.9530607804961178
twin-133,14,18,17.637003836112495,0.9529951868147832
